publisher,topic,total_time_seconds
10.0.0.21:5556,C,0.011123895645141602
10.0.0.8:5556,C,0.011856555938720703
10.0.0.1:5556,C,0.003040313720703125
10.0.0.26:5556,B,0.03281664848327637
10.0.0.16:5556,B,0.021375417709350586
10.0.0.11:5556,B,0.01219487190246582
10.0.0.26:5556,C,0.0021026134490966797
10.0.0.16:5556,C,0.0013623237609863281
10.0.0.21:5556,B,0.009133100509643555
10.0.0.11:5556,C,0.010402679443359375
10.0.0.8:5556,B,0.011036872863769531
10.0.0.1:5556,B,0.0025022029876708984
10.0.0.21:5556,C,0.0014235973358154297
10.0.0.8:5556,C,0.002134084701538086
10.0.0.1:5556,C,0.0008120536804199219
10.0.0.26:5556,B,0.0011234283447265625
10.0.0.16:5556,B,0.0014193058013916016
10.0.0.11:5556,B,0.0014090538024902344
10.0.0.26:5556,C,0.0008170604705810547
10.0.0.16:5556,C,0.0009210109710693359
10.0.0.11:5556,C,0.00119781494140625
10.0.0.21:5556,B,0.001916646957397461
10.0.0.8:5556,B,0.0025055408477783203
10.0.0.1:5556,B,0.0009853839874267578
10.0.0.21:5556,C,0.001407623291015625
10.0.0.8:5556,C,0.002165555953979492
10.0.0.1:5556,C,0.0007960796356201172
10.0.0.26:5556,B,0.0009415149688720703
10.0.0.16:5556,B,0.0010190010070800781
10.0.0.11:5556,B,0.0016100406646728516
10.0.0.26:5556,C,0.0010170936584472656
10.0.0.16:5556,C,0.001155853271484375
10.0.0.21:5556,B,0.0015015602111816406
10.0.0.11:5556,C,0.0023872852325439453
10.0.0.8:5556,B,0.0029528141021728516
10.0.0.1:5556,B,0.0035588741302490234
10.0.0.21:5556,C,0.0013077259063720703
10.0.0.8:5556,C,0.001962423324584961
10.0.0.1:5556,C,0.002611875534057617
10.0.0.26:5556,B,0.0014951229095458984
10.0.0.16:5556,B,0.0013966560363769531
10.0.0.11:5556,B,0.0015869140625
10.0.0.26:5556,C,0.0007991790771484375
10.0.0.16:5556,C,0.0007677078247070312
10.0.0.21:5556,B,0.001299142837524414
10.0.0.11:5556,C,0.0021560192108154297
10.0.0.8:5556,B,0.002947568893432617
10.0.0.1:5556,B,0.010093927383422852
10.0.0.21:5556,C,0.0010786056518554688
10.0.0.8:5556,C,0.0018105506896972656
