publisher,topic,total_time_seconds
10.0.0.1:5556,B,0.0006964206695556641
10.0.0.8:5556,C,0.0005192756652832031
10.0.0.1:5556,C,0.0007195472717285156
10.0.0.16:5556,B,0.0013873577117919922
10.0.0.11:5556,B,0.0010616779327392578
10.0.0.8:5556,B,0.00180816650390625
10.0.0.21:5556,B,0.0010557174682617188
10.0.0.26:5556,B,0.0006697177886962891
10.0.0.11:5556,C,0.0023725032806396484
10.0.0.16:5556,C,0.001926422119140625
10.0.0.8:5556,C,0.0007596015930175781
10.0.0.1:5556,B,0.0008652210235595703
10.0.0.21:5556,C,0.0013012886047363281
10.0.0.26:5556,C,0.0008847713470458984
10.0.0.1:5556,C,0.0013320446014404297
10.0.0.11:5556,B,0.0011768341064453125
10.0.0.16:5556,B,0.0013511180877685547
10.0.0.8:5556,B,0.0005047321319580078
10.0.0.21:5556,B,0.0004818439483642578
10.0.0.26:5556,B,0.000644683837890625
10.0.0.11:5556,C,0.0009877681732177734
10.0.0.16:5556,C,0.0011744499206542969
10.0.0.8:5556,C,0.0005819797515869141
10.0.0.1:5556,B,0.0004649162292480469
10.0.0.21:5556,C,0.0009963512420654297
10.0.0.26:5556,C,0.0006389617919921875
10.0.0.1:5556,C,0.00041222572326660156
10.0.0.11:5556,B,0.0005884170532226562
10.0.0.16:5556,B,0.0010485649108886719
10.0.0.8:5556,B,0.001165151596069336
10.0.0.21:5556,B,0.00036454200744628906
10.0.0.26:5556,B,0.0005517005920410156
10.0.0.11:5556,C,0.0005195140838623047
10.0.0.16:5556,C,0.0005757808685302734
10.0.0.8:5556,C,0.0007915496826171875
10.0.0.1:5556,B,0.00038242340087890625
10.0.0.21:5556,C,0.0003619194030761719
10.0.0.26:5556,C,0.0008294582366943359
10.0.0.1:5556,C,0.001247406005859375
10.0.0.11:5556,B,0.0005853176116943359
10.0.0.16:5556,B,0.0004794597625732422
10.0.0.8:5556,B,0.0005083084106445312
10.0.0.21:5556,B,0.0008418560028076172
10.0.0.26:5556,B,0.0014500617980957031
10.0.0.11:5556,C,0.0003974437713623047
10.0.0.16:5556,C,0.0002589225769042969
10.0.0.8:5556,C,0.0004475116729736328
10.0.0.1:5556,B,0.0004203319549560547
10.0.0.21:5556,C,0.0006842613220214844
10.0.0.26:5556,C,0.0006551742553710938
